ine_code;municipality;province;ccaa;year;deceased;injured_hospitalized;injured_not_hospitalized
04072;Partaloa;Almería;Andalucía;2023;0;0;0
04073;Paterna del Río;Almería;Andalucía;2023;0;0;0
04074;Pechina;Almería;Andalucía;2023;0;0;2
04075;Pulpí;Almería;Andalucía;2023;0;0;5
04076;Purchena;Almería;Andalucía;2023;0;0;0
04077;Rágol;Almería;Andalucía;2023;0;0;0
04078;Rioja;Almería;Andalucía;2023;0;0;0
04079;Roquetas de Mar;Almería;Andalucía;2023;2;7;375
04080;Santa Cruz de Marchena;Almería;Andalucía;2023;0;0;0
04081;Santa Fe de Mondújar;Almería;Andalucía;2023;0;0;0
04082;Senés;Almería;Andalucía;2023;0;0;0
04083;Serón;Almería;Andalucía;2023;0;0;0
04084;Sierro;Almería;Andalucía;2023;0;0;0
04085;Somontín;Almería;Andalucía;2023;;;
04086;Sorbas;Almería;Andalucía;2023;0;0;0
04087;Suflí;Almería;Andalucía;2023;;;
04088;Tabernas;Almería;Andalucía;2023;0;0;2
04089;Taberno;Almería;Andalucía;2023;0;0;0
04090;Tahal;Almería;Andalucía;2023;0;0;0
04091;Terque;Almería;Andalucía;2023;0;0;0
04092;Tíjola;Almería;Andalucía;2023;0;0;0
04093;Turre;Almería;Andalucía;2023;0;0;0
04094;Turrillas;Almería;Andalucía;2023;0;0;0
04095;Uleila del Campo;Almería;Andalucía;2023;0;0;0
04096;Urrácal;Almería;Andalucía;2023;0;0;0
04097;Velefique;Almería;Andalucía;2023;0;0;0
04098;Vélez-Blanco;Almería;Andalucía;2023;0;0;0
04099;Vélez-Rubio;Almería;Andalucía;2023;1;0;0
04100;Vera;Almería;Andalucía;2023;0;4;32
04101;Viator;Almería;Andalucía;2023;0;1;1
04102;Vícar;Almería;Andalucía;2023;0;5;50
04103;Zurgena;Almería;Andalucía;2023;0;1;0
04901;"Tres Villas; Las";Almería;Andalucía;2023;0;0;0
04902;"Ejido; El";Almería;Andalucía;2023;0;4;53
04903;"Mojonera; La";Almería;Andalucía;2023;0;1;12
04904;Balanegra;Almería;Andalucía;2023;0;0;0
05000;Avila ( municipio sin especificar);Ávila;Castilla y León;2023;;;
05001;Adanero;Ávila;Castilla y León;2023;0;0;0
05002;"Adrada; La";Ávila;Castilla y León;2023;0;0;3
05005;Albornos;Ávila;Castilla y León;2023;;;
05007;Aldeanueva de Santa Cruz;Ávila;Castilla y León;2023;;;
