ine_code;province;autonomous_community;year;total_sanctions_with_points;total_points_deducted;speeding_two_points;speeding_three_points;speeding_four_points;speeding_six_points;alcohol_four_points;alcohol_six_points;drugs_six_points;helmet_seatbelt_child_restraint_system_three_points;helmet_seatbelt_child_restraint_system_four_points;helmet_seatbelt_child_restraint_system_six_points;mobile_phone_three_points;mobile_phone_four_points ;mobile_phone_six_points ;traffic_light_three_points;traffic_light_four_points;traffic_light_six_points;other_three_points;other_four_points;other_six_points
03039;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03040;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03041;Alicante/Alacant;Comunitat Valenciana;2022;148;696;0;0;0;0;124;132;0;18;32;0;0;0;0;0;32;0;36;88;234
03042;Alicante/Alacant;Comunitat Valenciana;2022;4;18;0;0;0;0;4;6;0;0;4;0;0;0;0;0;4;0;0;0;0
03043;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03044;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03045;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03046;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03047;Alicante/Alacant;Comunitat Valenciana;2022;72;330;0;0;0;0;20;102;0;36;36;0;0;0;0;0;0;0;18;40;78
03048;Alicante/Alacant;Comunitat Valenciana;2022;11;51;0;0;0;0;8;18;0;6;0;0;0;0;0;0;0;0;3;4;12
03049;Alicante/Alacant;Comunitat Valenciana;2022;179;809;0;0;0;0;152;156;0;45;40;0;0;0;0;0;88;0;24;112;192
03050;Alicante/Alacant;Comunitat Valenciana;2022;262;1.121;16;0;4;6;192;180;0;45;96;0;0;0;0;0;100;0;108;140;234
03051;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
